Country,Iso3,Who region,Month Start,Month Lab,Cases,Deaths
Finland,FIN,EURO,01/12/2023,Dec-23,0,0
Finland,FIN,EURO,01/01/2024,Jan-24,-1,0
Finland,FIN,EURO,01/02/2024,Feb-24,1,0
Finland,FIN,EURO,01/03/2024,Mar-24,0,0
Finland,FIN,EURO,01/04/2024,Apr-24,0,0
Finland,FIN,EURO,01/05/2024,May-24,0,0
Finland,FIN,EURO,01/06/2024,Jun-24,0,0
Finland,FIN,EURO,01/07/2024,Jul-24,0,0
Finland,FIN,EURO,01/08/2024,Aug-24,0,0
Finland,FIN,EURO,01/09/2024,Sep-24,0,0
Finland,FIN,EURO,01/10/2024,Oct-24,0,0
France,FRA,EURO,01/11/2023,Nov-23,3,0
France,FRA,EURO,01/12/2023,Dec-23,7,0
France,FRA,EURO,01/01/2024,Jan-24,8,0
France,FRA,EURO,01/02/2024,Feb-24,16,0
France,FRA,EURO,01/03/2024,Mar-24,11,0
France,FRA,EURO,01/04/2024,Apr-24,12,0
France,FRA,EURO,01/05/2024,May-24,31,0
France,FRA,EURO,01/06/2024,Jun-24,23,0
France,FRA,EURO,01/07/2024,Jul-24,11,0
France,FRA,EURO,01/08/2024,Aug-24,24,0
France,FRA,EURO,01/09/2024,Sep-24,27,0
France,FRA,EURO,01/10/2024,Oct-24,29,0
Gabon,GAB,AFRO,01/08/2024,Aug-24,1,0
Gabon,GAB,AFRO,01/09/2024,Sep-24,1,0
Gabon,GAB,AFRO,01/10/2024,Oct-24,0,0
Georgia,GEO,EURO,01/11/2023,Nov-23,0,0
Georgia,GEO,EURO,01/12/2023,Dec-23,0,0
Georgia,GEO,EURO,01/01/2024,Jan-24,0,0
Georgia,GEO,EURO,01/02/2024,Feb-24,0,0
Georgia,GEO,EURO,01/03/2024,Mar-24,0,0
Georgia,GEO,EURO,01/04/2024,Apr-24,0,0
Georgia,GEO,EURO,01/05/2024,May-24,0,0
Georgia,GEO,EURO,01/06/2024,Jun-24,0,0
Georgia,GEO,EURO,01/07/2024,Jul-24,0,0
